['questionTag', 'id', 'questionText', 'helpText', 'explanation', 'language', 'description', 'responseType', 'imageFilePath', 'imageFileName', 'imageFileType']
fHxBreastCA,7,Have any close blood relatives had breast cancer?,,Breast cancer - cancer that starts in breast cells. Several types of cells in the breast that may form cancers.,English,family history,YesNoField,,,
fHxOvarianCA,8,Have any of your close blood relatives ever had ovarian cancer?,,,English,family history,YesNoField,,,
fHxSufficient,9,Have any of your female close blood relatives lived beyond age 45 years?,,,English,family history,YesNoField,,,
pHxAgeLastPer,10,How old were you when you had your most recent period?,,,English,patient age at menopause,IntegerField,,,
pHxAgeLastPer1Yr,11,Was your last period more than 1 year ago?,,,English,Last period > 1 year,YesNoField,,,
pHxAgeMenarche,12,How old were you when you had your first period?,,,English,patient age at menarche,IntegerField,,,
pHxBirths,13,How many live births have you had?,,,English,patient live births,IntegerField,,,
pHxBirths_Age,14,How old were you when you had your first baby?,,,English,patient age at first birth,IntegerField,,,
pHxBrBi,15,What were the findings from your breast biopsy? Check all that apply:,,,English,patient breast biopsy finding,MultipleChoiceRequiredField,,,
pHxBrCA3Neg,16,Was your cancer “triple negative”<aComma> without receptors for estrogen<aComma> progesterone and HER2?,,,English,patient history,YesNoField,,,
pHxBrCAGE1RelBrCALE50Years,17,Do you have any close blood relatives with breast cancer who were diagnosed at age 50 years or younger?,,,English,family history,YesNoField,,,
pHxBrCAGE2RelBrPancCA,18,Did two or more close blood relatives from the <u>same side</u> of your family have breast or pancreatic cancer?,,,English,family history,YesNoField,,,
pHxBrCAGT1PrimaryBoth,19,Have you had cancer in both breasts?,,,English,patient history,YesNoField,,,
pHxBrCAGT1PrimarySame,20,Was your cancer found in more than one location in the same breast?,,,English,patient history,YesNoField,,,
pHxBrCALE50Yrs,21,What was your age when your breast cancer was first diagnosed?,,,English,patient history,SingleChoiceField,,,
pHxBrCAOther,22,Please indicate any of the following conditions you have had:,,List additional cancers had by patient.,English,patient history of other cancers,MultipleChoiceField,,,
pHxBreastBiopsy,23,Have you ever had a breast biopsy?,,,English,patient breast biopsy,YesNoField,,,
pHxBreastBiopsyNumber,24,How many breast biopsies did you have?,,,English,patient breast biopsy count,IntegerField,,,
pHxBreastCA,25,Have you ever had <a title="Tap here for more information about breast cancer"href="{{explainURLprefix}}moreonbreastca"> breast cancer or ductal carcinoma in situ (DCIS)?</a>.,,Breast cancer - cancer that starts in breast cells. Several types of cells in the breast that may form cancers.,English,patient history,YesNoField,,,
pHxChestRad,26,Have you had chest radiation between ages 10 and 30<aComma> such as for cancer treatment?,,,English,patient chest radiation,YesNoField,,,
pHxHormUse,27,What hormones have you used? Check all that apply.,,,English,patient hormone use,MultipleChoiceField,,,
pHxHormUseArimidexAgeEnd,28,How old were you when you last used arimidex?,,,English,patient arimidex use age at end,IntegerField,,,
pHxHormUseArimidexAgeStart,29,How old were you when you first used arimidex?,,,English,patient arimidex use age at start,IntegerField,,,
pHxHormUseBCAgeEnd,30,How old were you when you last used birth control pills?,,,English,patient birth control age at end,IntegerField,,,
pHxHormUseBCAgeStart,31,How old were you when you first used birth control pills?,,,English,patient birth control age at start,IntegerField,,,
pHxHormUseEstrogenAgeEnd,32,How old were you when you last used estrogen replacement?,,,English,patient estrogen use age at end,IntegerField,,,
pHxHormUseEstrogenAgeStart,33,How old were you when you first used estrogen replacement?,,,English,patient estrogen use age at start,IntegerField,,,
pHxHormUseProgesteroneAgeEnd,34,How old were you when you last used progesterone replacement?,,,English,patient progesterone use age at end,IntegerField,,,
pHxHormUseProgesteroneAgeStart,35,How old were you when you first used progesterone replacement?,,,English,patient progesterone use age at start,IntegerField,,,
pHxHormUseRaloxifeneAgeEnd,36,How old were you when you last used Raloxifene?,,,English,patient Raloxifene use age at end,IntegerField,,,
pHxHormUseRaloxifeneAgeStart,37,How old were you when you first used Raloxifene?,,,English,patient Raloxifene use age at start,IntegerField,,,
pHxHormUseTamoxifenAgeEnd,38,How old were you when you last used tamoxifen?,,,English,patient tamoxifen use age at end,IntegerField,,,
pHxHormUseTamoxifenAgeStart,39,How old were you when you first used tamoxifen?,,,English,patient rogeterone use age at start,IntegerField,,,
pHxOvarianCA,40,Have you ever had ovarian cancer?,,,English,Patient history of ovarian Cancer.,YesNoField,,,
ptEth,41,What is your race/ethnicity? Check all that apply.,,,English,patient race/ethnicity,MultipleChoiceRequiredField,,,
ptInfoHTFeet,42,Feet,,,English,patient height feet,IntegerField,,,
ptInfoHTInches,43,Inches,,,English,patient height inches,IntegerField,,,
ptInfoWT,44,What is your weight? (pounds),,,English,patient weight,IntegerField,,,
